Название вакансии,Название компании,зарплата,ссылка на вакансию
Программист,ЕМЕ,до 230 000 ₽ на руки,https://hh.ru/vacancy/104813673?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист С++/Qt, junior",НТЦ Радуга,80 000 – 120 000 ₽ до вычета налогов,https://hh.ru/vacancy/104985185?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend developer/программист js,Современные технологии управления,80 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/104850348?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,ООО Старт,до 200 000 ₽ на руки,https://hh.ru/vacancy/104972617?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (Junior/Junior+),ООО Гауф Рус,70 000 – 80 000 ₽ на руки,https://hh.ru/vacancy/106032700?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Грин-Апи,350 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/105647042?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (стажер),Aston,70 000 – 80 000 ₽ до вычета налогов,https://hh.ru/vacancy/106001362?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior front/fullstack разработчик,ООО Белая Доска,80 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105883414?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-стажер 1C,ООО ВЕЛЕС РИСЕРЧ,от 30 000 ₽ на руки,https://hh.ru/vacancy/105794165?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP разработчик Junior + (удаленно),Social Media Holding,от 60 000 ₽ на руки,https://hh.ru/vacancy/105812555?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист С++,Комтех-Н,150 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105097143?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend Developer / Программист-разработчик,ООО Пэймастер,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105469751?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик,ООО Новые Технологии Программирования,150 000 – 300 000 ₽ до вычета налогов,https://hh.ru/vacancy/105989333?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист GO,ООО Автомакон,150 000 – 320 000 ₽ на руки,https://hh.ru/vacancy/105982752?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик,ООО СОФИ СОФТ,от 130 000 ₽ до вычета налогов,https://hh.ru/vacancy/104555206?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
TON-разработчик | TON Developer,OQTACORE,200 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/104432879?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
