Название вакансии,Название компании,зарплата,ссылка на вакансию
Программист 1С,ООО Премьер Авто,150 000 – 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/104719874?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,West Concept,до 250 000 ₽ на руки,https://hh.ru/vacancy/105748876?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Сияние ТК,от 200 000 ₽ на руки,https://hh.ru/vacancy/102934324?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Юпитер,от 150 000 ₽ на руки,https://hh.ru/vacancy/104622827?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,WeJET,от 120 000 ₽ до вычета налогов,https://hh.ru/vacancy/105054388?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Парус,от 230 000 ₽ на руки,https://hh.ru/vacancy/104734329?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик программного обеспечения (программист C#),ИНКОМ-НЕДВИЖИМОСТЬ,160 000 – 160 000 ₽ на руки,https://hh.ru/vacancy/106120111?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Фитц,от 250 000 ₽ на руки,https://hh.ru/vacancy/105552487?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО РТК,от 204 000 ₽ на руки,https://hh.ru/vacancy/105897725?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,Интерфинанс Холдингс Лимитед,250 000 – 350 000 ₽ до вычета налогов,https://hh.ru/vacancy/102131066?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1С НСИ,АО РУТ КОД,до 250 000 ₽ на руки,https://hh.ru/vacancy/104854302?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1С НСИ,АО РУТ КОД,до 250 000 ₽ на руки,https://hh.ru/vacancy/104854302?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Backend Developer (Python и SQL),e-Comet,80 000 – 100 000 ₽ на руки,https://hh.ru/vacancy/104373943?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий PHP - программист,ЗАО Цифровые Миры,от 250 000 ₽ на руки,https://hh.ru/vacancy/105788912?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Инженер-программист (C++, Raspberry Pi, STM32, SLAM)",ООО Нирта Технолоджи,90 000 – 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/105524613?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend разработчик,ИП Македонова Евгения Сергеевна,от 150 000 ₽ на руки,https://hh.ru/vacancy/106082902?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Fullstack разработчик (интегратор/разработчик AMO CRM),Whitewill,от 150 000 ₽ на руки,https://hh.ru/vacancy/106029304?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (поддержка),place!,до 200 000 ₽ на руки,https://hh.ru/vacancy/104446624?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Lady Collection,от 200 000 ₽ на руки,https://hh.ru/vacancy/104385581?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО РемиЛинг,от 250 000 ₽ на руки,https://hh.ru/vacancy/104727479?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик,Соловьев Александр Александрович,от 180 000 ₽ на руки,https://hh.ru/vacancy/105761768?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С Middle (удалённо),BINOM,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/102648816?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,La Nature,96 000 – 128 000 ₽ до вычета налогов,https://hh.ru/vacancy/104884580?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,Кадровое агентство Аспект,до 100 000 ₽ на руки,https://hh.ru/vacancy/104342095?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С-Битрикс,Студия Дзен дизайн,100 000 – 180 000 ₽ на руки,https://hh.ru/vacancy/105638193?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С УТ,Технолайт,до 250 000 ₽ на руки,https://hh.ru/vacancy/104756443?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ДЖЕЙКЕТ РАБОТА,130 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/104858652?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ДЖЕЙКЕТ РАБОТА,130 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/104858868?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Золотая Рыбка,150 000 – 180 000 ₽ на руки,https://hh.ru/vacancy/104960698?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик - Программист 1С,Ювенко,от 200 000 ₽ на руки,https://hh.ru/vacancy/105263826?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,АО Хоперская упаковка,от 80 000 ₽ до вычета налогов,https://hh.ru/vacancy/104660000?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,IT-Сервис,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/101864287?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-программист,Alef,80 000 – 100 000 ₽ на руки,https://hh.ru/vacancy/105545047?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP-программист (офис),STROTSKIS GROUP,от 140 000 ₽ на руки,https://hh.ru/vacancy/98762025?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С++,ООО Системы Управления,250 000 – 500 000 ₽ на руки,https://hh.ru/vacancy/104519748?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Композит-Изделия,172 000 – 172 000 ₽ до вычета налогов,https://hh.ru/vacancy/103673352?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист по написанию плагинов для программного решения “Model Studio CS”,ООО Тим Инжиниринг,80 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/104910538?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Максфишинг,до 250 000 ₽ на руки,https://hh.ru/vacancy/105065212?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Голд Тех,от 140 000 ₽ на руки,https://hh.ru/vacancy/103074793?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C/Системный администратор,Группа Компаний Агпайп,100 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/105521534?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Модультранс,от 120 000 ₽ на руки,https://hh.ru/vacancy/105061892?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С Middle,ООО ЮРАЛС ПРО,от 200 000 ₽ на руки,https://hh.ru/vacancy/105774676?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С / Разработчик,ИП Суханов Вячеслав Андреевич,170 000 – 260 000 ₽ на руки,https://hh.ru/vacancy/106022627?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,place!,до 260 000 ₽ на руки,https://hh.ru/vacancy/106015343?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист BMC,DEPO Computers,от 60 000 ₽ на руки,https://hh.ru/vacancy/102337628?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист разработчик Full-stack,ООО Технологии Логистических Услуг и Услуг Складского Хранения,140 000 – 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/102401803?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1С,7ЦВЕТОВ,250 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105713327?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик (middle),ООО СмартТайм,от 150 000 ₽ на руки,https://hh.ru/vacancy/105985856?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,AVTOPAZL,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105926455?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С WMS,ООО БЕРГ Холдинг,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105748527?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик (middle),ООО СмартТайм,от 150 000 ₽ на руки,https://hh.ru/vacancy/105985856?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,AVTOPAZL,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105926455?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С WMS,ООО БЕРГ Холдинг,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105748527?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО ГИГАНТ-Компьютерные системы,250 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/105673365?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Старатели,от 140 000 ₽ на руки,https://hh.ru/vacancy/103020880?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,АСТ-Принт,до 230 000 ₽ до вычета налогов,https://hh.ru/vacancy/104882032?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Раменский Деликатес,150 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/104940953?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С / Программист 1С,ООО Нэти,от 175 000 ₽ до вычета налогов,https://hh.ru/vacancy/105230816?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Компания ГРЕНКОВЪ,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105640720?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист разработчик (Sip/WebRTC) c желанием изучить GO,Offer Now,до 420 000 ₽ до вычета налогов,https://hh.ru/vacancy/105959910?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Джи Эн Ви Ойл Групп,от 140 000 ₽ до вычета налогов,https://hh.ru/vacancy/104668050?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Автомакон,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104639351?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО АЭРОСТАР МСК,140 000 – 150 000 ₽ на руки,https://hh.ru/vacancy/104445473?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,ООО Горизонт Покрытий,200 000 – 250 000 ₽ до вычета налогов,https://hh.ru/vacancy/105340782?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО НПО ХимТэк,от 200 000 ₽ на руки,https://hh.ru/vacancy/105297477?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО РАЦИОНАЛЬ,140 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/103884175?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Full-stack разработчик (Middle),ООО Галактика,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/104736853?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Сплав Компания,200 000 – 230 000 ₽ на руки,https://hh.ru/vacancy/106083958?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1C,Глобал Фудс,до 230 000 ₽ до вычета налогов,https://hh.ru/vacancy/105849252?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист PHP/разработчик Bitrix,ООО Инскайнет,100 000 – 180 000 ₽ на руки,https://hh.ru/vacancy/104465780?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист,АО Всероссийский научно-исследовательский институт радиотехники (ВНИИРТ),70 000 – 100 000 ₽ на руки,https://hh.ru/vacancy/105999030?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP программист (CMS 1С Битрикс),ООО Тингер,от 120 000 ₽ до вычета налогов,https://hh.ru/vacancy/105393518?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист PHP, фуллстек",ООО Первый Доктор,100 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/95676968?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Fullstack Developer,abcAge,150 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/105994475?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Fullstack-разработчик,Саморегулируемая организация Ассоциация строителей Межрегионстройальянс,от 150 000 ₽ на руки,https://hh.ru/vacancy/106098969?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист (интегратор) Битрикс24,ООО Группа Компаний ФЕНИКС,от 100 000 ₽ на руки,https://hh.ru/vacancy/105934059?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"РОГНЕДА, группа компаний",от 180 000 ₽ на руки,https://hh.ru/vacancy/106063622?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,Vitamin C,150 000 – 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/106104639?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle Fullstack Developer | Разработчик ПО 2-ой категории,ООО Интелион Майн,100 000 – 200 000 ₽ на руки,https://hh.ru/vacancy/105848922?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,"Нияма, Сеть ресторанов",от 190 000 ₽ на руки,https://hh.ru/vacancy/104958462?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУТП,ООО ПромНефтеГазАвтоматика,от 70 000 ₽ на руки,https://hh.ru/vacancy/105787617?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С/ Разработчик 1C,ООО ГИГАНТ-Компьютерные системы,250 000 – 300 000 ₽ на руки,https://hh.ru/vacancy/106038183?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Бэкенд разработчик на языке C# (Backend-разработчик С#),Primo RPA,до 350 000 ₽ на руки,https://hh.ru/vacancy/105919726?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик WordPress,Университет Инноваций,100 000 – 120 000 ₽ на руки,https://hh.ru/vacancy/104454936?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Delphi,Гарант,150 000 – 150 000 ₽ до вычета налогов,https://hh.ru/vacancy/66988817?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1С (программист 1С),АО ГНЦ Центр Келдыша,82 000 – 86 000 ₽ на руки,https://hh.ru/vacancy/105878282?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С/Разработчик,ООО КСМ,от 100 000 ₽ до вычета налогов,https://hh.ru/vacancy/105395002?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Капитал,120 000 – 120 000 ₽ на руки,https://hh.ru/vacancy/105399428?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
"Программист-математик С++, middle",Фонд Национальное интеллектуальное развитие,190 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105866775?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Middle/senior программист c++/c#,ООО СМТТех,от 180 000 ₽ на руки,https://hh.ru/vacancy/105878977?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-разработчик 1С,Интернет бутик Bosco,до 250 000 ₽ на руки,https://hh.ru/vacancy/105255833?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик ASP.NET Core,ООО Транснефтьэнерго,от 203 000 ₽ до вычета налогов,https://hh.ru/vacancy/104895742?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО АЛМАЗ,200 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105102141?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,ООО Интеграл КТ,80 000 – 200 000 ₽ до вычета налогов,https://hh.ru/vacancy/105405369?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Руководитель разработки / Ведущий программист 1С,ЗАО АППИУС,320 000 – 380 000 ₽ до вычета налогов,https://hh.ru/vacancy/103846503?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Backend (C++ / node.js),HTS,300 000 – 350 000 ₽ на руки,https://hh.ru/vacancy/105044030?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик / Full stack / Golang,BIRCH,230 000 – 250 000 ₽ на руки,https://hh.ru/vacancy/105854994?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,КРОН,230 000 – 320 000 ₽ до вычета налогов,https://hh.ru/vacancy/80779025?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С,КРОН,230 000 – 320 000 ₽ до вычета налогов,https://hh.ru/vacancy/80779025?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP backend программист/разработчик (middle developer),amoCRM,до 250 000 ₽ на руки,https://hh.ru/vacancy/105751769?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
